|white_move_1|black_move_1|score
0|e4|b6|1-0
1|e4|e5|0-1
2|d4|e5|0-1
3|e4|e5|1-0
4|e4|c5|1/2-1/2
5|e4|e5|1-0
6|e4|e5|1-0
7|e4|d5|1-0
8|d4|d5|1-0
9|d4|e6|1-0
10|e4|e5|0-1
11|e4|e5|0-1
12|d4|d5|0-1
13|e4|c6|1-0
14|c4|d6|1-0
15|e4|c5|1-0
16|e4|Nc6|0-1
17|e4|e5|0-1
18|e4|e6|0-1
19|e4|e5|1-0
20|e4|e6|0-1
21|e4|c5|1-0
22|e4|e5|1-0
23|e4|e5|1-0
24|e4|c5|0-1
25|e4|c5|1-0
26|e4|d5|1-0
27|d4|d5|1/2-1/2
28|e4|c5|0-1
29|e4|c5|1-0
30|e4|e6|1-0
31|e4|c5|0-1
32|e4|d5|1-0
33|e4|e6|1/2-1/2
34|d4|d5|1-0
35|e4|e5|1-0
36|e4|c5|0-1
37|e4|c5|1-0
38|e4|d5|1-0
39|e4|d5|1-0
40|e4|e6|1-0
41|e4|e5|1-0
42|e4|c5|0-1
43|e4|Nc6|1-0
44|e4|c5|0-1
45|e4|e5|1-0
46|e4|e5|0-1
47|c4|e6|1-0
48|e4|e5|0-1
49|e4|c6|1-0
50|d4|c5|0-1
51|Nf3|d6|0-1
52|e4|e5|1-0
53|e4|e5|1-0
54|d4|c5|0-1
55|d4|c6|1-0
56|e4|d5|0-1
57|e4|e5|1-0
58|d4|c5|1-0
59|d4|c5|1-0
60|d4|e6|1-0
61|c4|Nf6|1-0
62|e4|e5|1-0
63|e4|c5|0-1
64|e4|e5|0-1
65|d4|d5|0-1
66|e4|d5|1/2-1/2
67|e4|c5|0-1
68|d4|c5|1-0
69|e4|e6|1-0
70|e4|d5|1-0
71|d4|Nf6|0-1
72|e4|d5|0-1
73|e4|e5|1-0
74|e4|c5|1/2-1/2
75|Nf3|d5|1-0
76|e3|e5|0-1
77|e4|e6|1-0
78|e4|c6|0-1
79|e4|e5|0-1
80|e4|e5|1-0
81|e4|d5|1/2-1/2
82|e4|c5|0-1
83|d4|Nf6|1-0
84|d4|d5|1-0
85|c4|e6|0-1
86|e4|e5|0-1
87|e4|e5|0-1
88|d4|d5|1-0
89|e4|c5|1-0
90|e4|g6|1/2-1/2
91|e4|e6|0-1
92|e4|g6|1-0
